time,window_index,r_w,is_singular,delta_w,b_w,delta_f_w,cost_val,opt_duration,angle_x,angle_y,angle_z,k_b_w,k_delta_w
1778265305.9746718,1,0.0197,0,-0.1052,-0.1052,-0.1052,0.182348,0.0042,25.78,32.17,-12.63,1.000000,1.000000
1778265305.9894595,2,0.0197,0,-0.2231,-0.1116,-0.2199,0.245126,0.0042,24.26,28.03,-10.27,0.500000,0.500000
1778265306.004559,3,0.0195,0,-0.3477,-0.1159,-0.3398,0.299663,0.0043,20.44,24.10,-6.95,0.333333,0.333333
1778265306.019369,4,0.0192,0,-0.4699,-0.1175,-0.4604,0.316034,0.0042,16.51,22.78,-4.33,0.250000,0.250000
1778265306.0340137,5,0.0190,0,-0.5820,-0.1164,-0.5779,0.285213,0.0042,14.84,24.96,-4.23,0.200000,0.200000
1778265306.0486422,6,0.0190,0,-0.6903,-0.1151,-0.6925,0.235923,0.0042,15.36,28.22,-5.62,0.166667,0.166667
1778265306.0634553,7,0.0191,0,-0.8081,-0.1154,-0.8079,0.248706,0.0042,17.47,28.08,-6.29,0.142857,0.159104
1778265306.0781026,8,0.0192,0,-0.9331,-0.1166,-0.9259,0.330204,0.0042,17.02,23.53,-5.01,0.125000,0.159104
1778265306.092746,9,0.0197,0,-1.0652,-0.1184,-1.0476,0.402555,0.0041,13.41,17.54,-2.40,0.111111,0.159104
1778265306.1073618,10,0.0212,0,-1.1985,-0.1199,-1.1724,0.414687,0.0042,10.41,15.54,-0.49,0.100000,0.159104
1778265306.122061,11,0.0276,0,-1.3458,-0.1223,-1.3029,0.368696,0.0042,8.90,17.20,-0.50,0.090909,0.159104
1778265306.1367445,12,0.0471,0,-1.5505,-0.1292,-1.4509,0.281493,0.0042,11.83,20.51,-2.51,0.083333,0.159104
1778265306.1514847,13,0.0737,0,-1.8324,-0.1410,-1.6302,0.228013,0.0041,16.83,21.73,-4.16,0.076923,0.159104
1778265306.1668885,14,0.1058,0,-2.2082,-0.1577,-1.8548,0.227514,0.0049,18.91,17.55,-3.86,0.071429,0.159104
1778265306.182345,15,0.1376,0,-2.6323,-0.1755,-2.1260,0.226938,0.0050,18.93,11.83,-2.48,0.066667,0.159104
1778265306.1970468,16,0.1654,0,-2.9628,-0.1852,-2.4149,0.192974,0.0042,15.33,8.43,-0.76,0.062500,0.159104
1778265306.2117734,17,0.1892,0,-3.1490,-0.1852,-2.6874,0.138834,0.0042,11.28,8.87,-0.03,0.058824,0.159104
1778265306.2264967,18,0.2103,0,-3.1798,-0.1767,-2.9143,0.080304,0.0042,9.19,13.07,-0.84,0.055556,0.159104
1778265306.2411199,19,0.2299,0,-3.1303,-0.1648,-3.0872,0.026198,0.0042,8.96,18.10,-2.50,0.052632,0.159104
1778265306.2558856,20,0.2475,0,-3.1423,-0.1571,-3.2281,0.004463,0.0043,11.26,20.34,-3.85,0.050000,0.159104
1778265306.2708585,21,0.2617,0,-3.3193,-0.1581,-3.3755,0.007815,0.0042,13.87,17.79,-3.89,0.047619,0.159104
1778265306.286581,22,0.2698,0,-3.7083,-0.1686,-3.5702,0.036674,0.0050,15.46,10.43,-2.43,0.045455,0.159104
1778265306.3020627,23,0.2716,0,-4.1099,-0.1787,-3.8063,0.052663,0.0050,12.12,2.69,-0.83,0.043478,0.159104
1778265306.3176074,24,0.2689,0,-4.4033,-0.1835,-4.0556,0.049721,0.0050,4.65,-2.76,0.35,0.041667,0.159104
1778265306.3330688,25,0.2640,0,-4.5249,-0.1810,-4.2824,0.043139,0.0050,-3.02,-3.79,0.89,0.040000,0.159104
1778265306.348514,26,0.2586,0,-4.4134,-0.1697,-4.4460,0.025754,0.0050,-10.61,-0.26,0.72,0.038462,0.159104
1778265306.3639808,27,0.2537,0,-4.2345,-0.1568,-4.5442,0.019986,0.0050,-16.19,4.15,1.17,0.037037,0.159104
1778265306.379379,28,0.2502,0,-4.1115,-0.1468,-4.5989,0.028382,0.0049,-18.78,7.68,2.06,0.035714,0.159104
1778265306.3947446,29,0.2479,0,-4.0331,-0.1391,-4.6258,0.039991,0.0049,-20.92,9.51,2.72,0.034483,0.159104
1778265306.4101381,30,0.2449,0,-4.0585,-0.1353,-4.6493,0.041320,0.0049,-21.42,9.71,2.86,0.033333,0.159104
1778265306.4256203,31,0.2409,0,-4.2789,-0.1380,-4.7064,0.035627,0.0050,-16.50,8.89,2.31,0.032258,0.159104
1778265306.440786,32,0.2364,0,-4.6278,-0.1446,-4.8155,0.039445,0.0042,-7.35,7.50,1.56,0.031250,0.159104
1778265306.4554813,33,0.2314,0,-5.0718,-0.1537,-4.9855,0.044230,0.0042,2.61,5.33,0.96,0.030303,0.159104
1778265306.4710028,34,0.2279,0,-5.5686,-0.1638,-5.2160,0.063088,0.0049,12.52,2.26,1.02,0.029412,0.159104
1778265306.4863799,35,0.2270,0,-5.9834,-0.1710,-5.4819,0.089933,0.0049,20.21,-0.41,1.84,0.028571,0.159104
1778265306.5017657,36,0.2277,0,-6.3370,-0.1760,-5.7660,0.107046,0.0049,23.89,-2.85,3.04,0.027778,0.159104
1778265306.5175087,37,0.2289,0,-6.6723,-0.1803,-6.0618,0.116949,0.0050,26.73,-4.82,4.14,0.027027,0.159104
1778265306.5330317,38,0.2301,0,-6.9722,-0.1835,-6.3609,0.117448,0.0050,28.55,-5.83,4.79,0.026316,0.159104
1778265306.5484588,39,0.2295,0,-7.2831,-0.1867,-6.6647,0.123545,0.0049,28.38,-6.84,5.31,0.025641,0.159104
1778265306.5638487,40,0.2261,0,-7.6336,-0.1908,-6.9793,0.147150,0.0049,26.05,-8.65,5.71,0.025000,0.159104
1778265306.5792992,41,0.2212,0,-8.0002,-0.1951,-7.3058,0.176299,0.0049,20.25,-11.67,5.33,0.024390,0.159104
1778265306.5946932,42,0.2188,0,-8.3373,-0.1985,-7.6369,0.184376,0.0049,12.95,-14.47,4.35,0.023810,0.159104
1778265306.6100893,43,0.2219,0,-8.4650,-0.1969,-7.9342,0.150548,0.0049,5.57,-13.46,2.85,0.023256,0.159104
1778265306.6255062,44,0.2300,0,-8.3090,-0.1888,-8.1526,0.117307,0.0049,0.85,-6.65,0.97,0.022727,0.159104
1778265306.6409714,45,0.2390,0,-8.0114,-0.1780,-8.2798,0.098305,0.0050,2.00,6.03,-1.78,0.022222,0.159104
1778265306.6563177,46,0.2437,0,-7.7206,-0.1678,-8.3320,0.091842,0.0049,9.70,21.90,-8.30,0.021739,0.159104
1778265306.6717956,47,0.2436,0,-7.5858,-0.1614,-8.3490,0.116131,0.0050,21.79,36.42,-18.72,0.021277,0.159104
1778265306.6872437,48,0.2403,0,-7.6598,-0.1596,-8.3735,0.127786,0.0050,34.75,47.16,-30.63,0.020833,0.159104
1778265306.7026932,49,0.2363,0,-7.8315,-0.1598,-8.4217,0.116700,0.0049,45.05,53.30,-40.74,0.020408,0.159104
1778265306.7181258,50,0.2338,0,-7.9416,-0.1588,-8.4789,0.108512,0.0049,47.95,54.81,-43.75,0.020000,0.159104
1778265306.7334826,51,0.2310,0,-7.9940,-0.1567,-8.5335,0.097172,0.0049,44.78,51.98,-39.67,0.019608,0.159104
1778265306.7488494,52,0.2275,0,-8.0174,-0.1542,-8.5811,0.088751,0.0049,41.50,47.19,-34.46,0.019231,0.159104
1778265306.7646906,53,0.2245,0,-8.0354,-0.1516,-8.6217,0.082150,0.0051,38.65,42.86,-29.85,0.018868,0.159104
1778265306.7803361,54,0.2216,0,-8.0782,-0.1496,-8.6611,0.072885,0.0050,35.77,40.65,-26.42,0.018519,0.159104
1778265306.7960784,55,0.2188,0,-8.1117,-0.1475,-8.6977,0.074314,0.0051,30.56,41.03,-22.64,0.018182,0.159104
1778265306.8119004,56,0.2158,0,-8.1376,-0.1453,-8.7308,0.074357,0.0051,20.96,40.27,-16.05,0.017857,0.159104
1778265306.8275719,57,0.2131,0,-8.1860,-0.1436,-8.7649,0.067218,0.0050,9.35,35.88,-8.32,0.017544,0.159104
1778265306.843576,58,0.2111,0,-8.3773,-0.1444,-8.8246,0.052246,0.0051,-0.23,26.04,-2.50,0.017241,0.159104
1778265306.8593764,59,0.2113,0,-8.7032,-0.1475,-8.9294,0.044115,0.0050,-5.82,12.75,-0.16,0.016949,0.159104
1778265306.8750196,60,0.2138,0,-9.1463,-0.1524,-9.0921,0.057318,0.0049,-8.75,-0.83,-0.26,0.016667,0.159104
1778265306.8907478,61,0.2169,0,-9.6832,-0.1587,-9.3196,0.101376,0.0049,-10.08,-13.19,-1.51,0.016393,0.159104
